TargetName,roi030_neg,roi023_neg,roi024_neg,roi025_neg,roi026_neg,roi028_neg,roi031_neg,roi004_neg,roi005_neg,roi008_neg,roi012_neg,roi014_neg,roi015_neg,roi016_neg,roi017_neg,roi018_neg,roi020_neg,roi021_neg,roi022_neg,roi009_neg,roi010_neg,roi019_neg,roi006_neg,roi007_neg,roi011_neg,roi013_neg,roi029_neg,roi032_neg,roi027_neg,roi001_neg,roi002_neg,roi003_neg,roi030_pos,roi023_pos,roi024_pos,roi025_pos,roi026_pos,roi028_pos,roi031_pos,roi004_pos,roi005_pos,roi008_pos,roi012_pos,roi014_pos,roi015_pos,roi016_pos,roi017_pos,roi018_pos,roi020_pos,roi021_pos,roi022_pos,roi009_pos,roi010_pos,roi019_pos,roi006_pos,roi007_pos,roi011_pos,roi013_pos,roi029_pos,roi032_pos,roi027_pos,roi001_pos,roi002_pos,roi003_pos
ITGA2,159.66732277528578,136.85616413973227,147.3139069482948,169.09021036328946,147.42947565691844,157.26156010563187,169.3935941813888,128.46977577249197,139.86646781390857,150.25955458247964,154.38863902009317,124.74045906825064,134.3391017410051,112.67237581328875,147.65357246697778,143.8207064922519,148.05887171201914,122.06634411694195,120.52610355567953,135.49843456175242,119.51562980482502,125.60789596485169,143.06181951865412,175.7359153686819,116.33913675320564,162.4929938829507,148.57567586983302,150.61445194067048,152.04175496917472,137.73217168225838,137.51818626429912,133.38474314669213,181.5467727220411,157.26834540418164,170.283800997625,165.56803499175112,190.17664126661887,173.93769116492913,115.82827350592608,180.61535656280654,205.2102418079132,184.44631213279985,159.20496494254803,173.1384452915298,169.6524566707357,167.69217244261395,167.71411039026833,151.7449460166448,184.78750120107037,178.69451053335584,177.2591548052331,189.1795843333737,168.18308954537707,181.24264457591974,176.30179249043238,217.98964345595206,184.55112787649608,155.73313567009137,165.7502284879004,192.5816373457406,190.10609114340198,155.60979979546516,143.15456817539481,152.86387089450534
NFATC3,172.8094769467196,156.18816588275868,146.6141607343484,161.5467546660414,154.35015393223048,151.86439217114506,151.05439562103857,151.26098070145147,154.57315459021586,162.96022283231525,142.92034258147322,133.3007374587977,143.88216250608605,132.809021506858,150.6166672496554,148.26554116339705,153.48928325114701,130.22448829014493,149.31479314138068,140.58192138924798,151.67152596856255,131.48090363370233,159.22691089332176,161.83322716152898,149.04671606349564,172.6898872593276,173.2216150358824,143.25285788434505,147.35979758870778,181.1496191312501,152.72720962755176,153.50991032063453,151.98210583949395,136.21643101090766,152.5499429265149,143.93107120128846,155.0000752303524,146.93284734037096,99.76629036877286,148.39693779264914,163.78790631884223,177.00845339671278,143.32933134111175,142.28391453002058,149.72232624932803,146.09775395911745,148.7325603390438,148.32760760713018,144.7491856444357,158.8401297671058,146.45401687903842,144.29527472269265,146.56109420033755,143.5117645388675,106.8143274015151,158.1116026021505,158.15668940029403,151.69729220297282,152.17950532545052,160.56008299005418,158.63152875219896,152.0292896785757,145.2131610472107,152.8907922522887
NRP1,262.07128501106996,264.25691904417243,284.35248129904033,271.86148494925,282.659249521584,264.12997823112255,278.0009202659782,259.5476848401145,318.88551942406787,306.60838907735996,270.1586417023433,272.5395238662806,296.52475836733316,270.3049211271145,263.22481604165944,276.4063877533099,282.2532013298406,277.8782048360326,276.3385048197934,279.3156714437713,321.8610208860191,277.51722472890583,276.53478348710223,277.0480056680977,277.49410595074085,328.3161250222344,299.1148733589766,305.00917462537484,272.89065437546935,237.53593577125977,233.17108264423894,253.57422047007196,241.11724226209455,254.79004616369477,242.52402710498285,237.1697624082196,218.05303933416704,243.34856000854634,260.23233103410814,231.5379647521777,209.2438341656036,197.9496550637876,222.06242970894687,193.72427577066134,208.43409759261203,180.1679608374655,228.53619517453907,211.74412588656904,201.33822496950782,191.18602931532592,218.0151626913128,200.64844413901375,239.1021594475415,213.36192701106236,187.9655528612338,230.50766814828611,211.6098755246992,233.27810050581476,222.39832198685298,223.23630141595225,253.04055836227965,192.0375850143011,225.55700477439044,212.8996180568465
HLA-A,1215.9671795796444,1384.3089286775353,1638.5215310039011,1629.0033440838872,2097.0731057288917,1518.557639425158,1333.9677921963362,2669.551221166849,1863.3775998897506,2225.666636198097,2615.9408388808138,3883.7772748216057,2889.161253624217,3929.939909430945,2045.0410630162535,3048.742220325371,2351.522781449913,2818.9425267652095,2206.5186711215156,2526.918409272908,2655.452284092554,3568.502463781853,2112.530023051902,2313.522396637234,2358.5578228911513,2612.5499265230537,1993.3527582933584,2288.7549990956486,1897.7027839600134,1525.8644031445758,1222.3405790343222,2317.782074406043,1379.6582524257606,1362.847696256005,1572.4627745903422,1410.5427267762498,2108.3488703456705,1549.862390129055,1150.3699226074816,1572.7095721877745,1327.6077599750708,1273.6017218298891,1723.4605923986576,1861.888477321241,1914.8409671535835,2101.0672219256307,1616.6100203580775,1822.7693541857986,1905.7987505691547,1541.4392029565058,1875.6057962158116,1814.2869761093361,1630.431418876079,2138.8652170720297,1414.2535268659776,1648.264730062406,2147.3314939517536,1640.7195614744137,1914.7107794725996,1717.3039423990983,1910.7179453991587,2505.3881425758755,1955.0277587128514,1557.4822204944785
TRIM21,269.1235443086929,250.30967308178555,248.42736061479593,276.9734691348379,232.70805136123786,266.26530897873977,263.95465168973226,220.5141601420958,183.15205054577044,196.86482620436388,222.17844735421883,206.43384727348325,222.08181864972005,177.04000681225745,231.35636269041777,214.01268786562594,239.82826068782313,187.7611930024352,232.90763683016831,222.83418317961628,201.2644179331663,203.11007526595668,216.5004076075714,232.2740566976481,229.35393331332557,222.62755490504648,212.6487489268957,211.54803302992553,249.84583196866487,228.74697111913852,266.82467637300715,226.03437353014786,255.903199050145,255.56034133701948,247.6019262136201,241.06860401030227,242.44154283871018,246.498220954942,198.62807967468459,201.96995493446994,183.0396700536437,167.78417944436174,192.58054355518712,207.89439067720645,188.1074682186461,174.20029716146604,218.9023331559514,209.5281547262132,189.22695764501205,177.94386853715355,202.40480366525028,193.20616794142512,203.27709098054126,196.3607113735052,194.46234083750616,232.6661672355713,216.7796980936494,206.78498246246303,202.23336860010937,206.58319441745857,230.30487779117732,209.90020052474085,246.4622407646561,230.04234029965502
SPRY4,189.5970330795802,187.04429195637326,187.02870191962555,168.0428078564943,181.14151539111086,179.61051514607502,181.55654796933598,167.2024391252535,248.40892715252903,172.6462014843229,167.5689007443862,155.81498078932876,166.61375265769647,125.71547825963866,180.6809929452499,146.02948728336924,177.1027448325788,155.10545817771376,172.2297725560817,170.77218357342676,165.93557054919634,138.8193126408614,149.41501807657616,163.88383605690822,156.9071539086919,172.62278944066242,174.6170260440027,202.20788305350405,175.53495710452157,199.1357879191874,175.2873180080226,158.31168985036535,184.39320385955034,164.6927937781668,168.85871089863886,154.93057659045814,155.02863702577363,169.10635545010015,165.3353909539434,162.7731957493394,150.4218018424431,135.3596061997159,139.75977509174825,131.22039732709294,129.96789453696368,111.30464459498756,150.74509064149422,137.5456305230918,140.39129484529633,128.586424680123,136.3360026312687,141.24370877375503,130.09833765240867,129.75859403831547,169.28930035597384,156.9901304890116,153.75239988512305,147.70477200435047,145.91882325354996,134.10352952266072,159.92681565157835,166.2465463481725,176.14003812477674,146.40682183498842
TGFBR2,168.31984241558297,186.646209438905,175.511945313914,185.64918968388687,191.36686777799974,178.75123829308714,187.64028216817002,223.1947578112752,229.96453173155945,227.04139109068097,185.17593430763773,184.5638256356919,201.3566087282817,169.47393275762312,212.35755261487898,193.1168102031285,209.51489259300965,166.00453017673752,209.40649394974236,195.4159437137157,206.98532905422906,211.46279438123452,233.20164248122296,239.9924547497443,210.6962058288172,220.2926437711893,192.18936552833136,168.74544195547014,185.87137598197285,221.83083091253553,176.3873810878273,203.88516370781034,145.6905851432619,138.92431867564616,128.4583848015024,130.17517769973043,125.82747172664139,146.96487919045452,166.95663634590437,161.30356775422936,169.0114550687553,179.95633400426232,162.83242264280582,142.40868254790576,146.57400534047926,143.0900197159709,143.0150782560557,142.3435707782754,165.66597445074845,153.36629262710952,173.05030775100684,152.4256385012799,144.87124612811448,154.55230416356486,133.0619124382889,162.63807128590332,156.75798136552015,129.2351372979024,110.85118746479813,105.55808291213783,127.94133292405549,188.17711732774688,174.62746946430093,137.8282428401988
TNFSF10,163.1789869106506,152.28836424747115,151.1153288675068,154.18351959901412,167.92232369025143,159.1175992591586,162.33696597843175,192.47613066388777,134.0708260493511,156.92701963770475,155.44907202824558,169.4839958068093,170.93019242861578,143.14284314674447,172.48906170351063,181.65975560297272,156.33681280472976,149.77434503179947,158.48683984711687,154.97386605420806,165.88158627792063,183.8638033684614,165.26790365763236,164.93952041301804,156.05533390209828,169.0286959882713,175.21330545729992,139.30592941277357,167.13063096461465,163.2423701008222,169.02198022541572,185.38219117153486,180.30912005229803,144.8327217111873,177.2293829958367,159.01808791869195,200.63602629265986,181.90736988282205,185.96033834027648,203.77721904923334,197.70447662876467,179.16065150634648,182.99198073907394,255.06678720470074,215.50537526675296,210.20705353127371,190.77563131772567,223.56680690901112,209.9731183178666,193.31922353882,209.68198017539993,260.7842534076143,219.72614044887348,246.66941259470224,268.3054596906877,189.14821672651678,194.61341544849572,216.52232054873198,196.43637030158985,184.46384913557782,236.34889259809492,313.5147871009602,164.7876212281879,391.48450703287125
ETS2,275.71528643089096,262.83752680280384,261.6617909795926,276.44889600090085,252.6775882340785,254.70225456991122,256.56334212659016,258.2050569763943,327.8394791344838,305.0739139404891,274.96966971727534,261.2231497268833,271.07589927634024,288.97178428974587,261.2076867351874,289.4317489422697,281.81548331784956,347.96565157852444,276.5011626963806,291.3007268161366,306.7172785131974,290.6308843774074,266.38037805960784,236.84297015008673,260.10844060982595,288.7505941698099,278.6141341601998,380.7830526158469,248.72790509546812,285.90988973179503,261.4337443526102,258.5136507358113,323.21660975101014,310.36246689504577,347.68496591928687,319.2631429611622,332.35196422618844,338.485439412719,291.5911639889864,428.77935778335006,446.71185241610914,517.8274597224937,404.6421986034857,427.0245081626169,424.1819820130763,586.1655800886303,410.57577990341287,437.35093110277927,504.3472112024895,645.507007330354,551.9711326762038,493.3708839394649,385.0423409404558,529.6642393335233,367.17893480372425,354.1355033823478,440.40732634971283,390.79742126370155,347.83980881114746,408.7660811448684,345.8489574632717,328.05369963038663,375.8913783889611,419.05973336915116
CEACAM8,198.54290179837474,208.8754045358275,201.65141636000396,206.1860085169168,187.9810890963037,193.44490818271072,219.2967186852986,173.87342864681224,201.080869840133,167.79872539775567,160.26510990953744,152.01920516461783,159.208940664578,133.63016701030756,180.6899246886097,163.87781384182045,179.09396057803593,162.83512805162803,181.3438078765988,179.07129669927178,192.6870750902897,164.4416926038224,169.4591833439597,166.2291861644529,179.94414115544288,186.55276395354338,188.7107352244582,188.85759299955308,193.55930838412098,182.98765824420133,215.12267507918924,179.29437294897193,235.49426291325673,216.395742493811,244.33698655888978,233.5174870425703,272.138503240313,250.0487494386884,194.2743346759798,272.9363668803816,319.0603360256151,278.28638500987995,254.5406957331092,267.5339486212539,241.92975972285853,243.65537790883195,259.63197774422815,304.92548087211935,339.80424262145135,302.15858707612387,305.6749161095006,290.31565977170237,337.75648165097743,312.18766096751693,192.8141171166332,350.9843650247791,330.0001327647398,339.0472320595116,316.24145034460884,327.4361928139894,271.4575473974462,328.1983633628847,194.17870661237822,303.63553558304903
